CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,IS_CASH,NOTAS
Imss CCR P4,11514.12,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv CCR P4,15495.99,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit CCR P4,8440.63,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% S/Nom CCR P4,3754,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% S/Nom CC P4,2636,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Imss CC P4,9296.65,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv CC P4,13236.08,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit CC P4,7281.42,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Imss CCR P5,16524.07,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv CCR P5,22336.29,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit CCR P5,12141.37,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% S/Nom CCR P5,6037,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% S/Nom CC P5,3296,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Imss CC P5,10611.27,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv CC P5,15776.73,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit CC P5,8765.8,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Imss Costo Concreto P1,7522.02,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv Costos Concreto P1,13412.04,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit Costo Concreto P1,7430.62,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% s/nom CCR P1,5889,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Imss Costo Camion P1,16716.38,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv Costo Camion P1,21110.87,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit Costo Camion P1,12399.21,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% S/Nom CC P1,11376,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Imss CCR P2,18606.11,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv CCR P2,31187.18,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit CCR P2,16525.4,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
