CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
3% S/Nom CCR P4,3011.49,P004,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P4,4277.3,P004,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P5,9920.54,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CCR P5,12070.97,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CCR P5,7442.55,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CCR P5,315,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P5,442,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P5,12085.83,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CC P5,13052.67,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CC P5,8095.65,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Urea Costo Vtas P1,6279.91,P001,PRODUCCION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
Imss Costo Concreto P1,6730.26,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv Costos Concreto P1,11387.49,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit Costo Concreto P1,6985.88,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% s/nom CCR P1,4113,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Costo Camion P1,18704.43,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv Costo Camion P1,29389.39,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit Costo Camion P1,18251.27,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P1,5756,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P2,31422.29,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CCR P2,44219.65,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
