CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
Imss CCR P4,10398.03,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CCR P4,14604.85,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CCR P4,7860.21,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CCR P4,3816,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P4,3031,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P4,8421.48,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CC P4,9932.48,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CC P4,5727.75,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P5,872.74,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CCR P5,563.6,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CCR P5,308.21,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CCR P5,1864,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P5,2301,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P5,668.02,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CC P5,333.94,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CC P5,208.04,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Costo Concreto P1,7223.57,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv Costos Concreto P1,14027.35,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit Costo Concreto P1,7625.75,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% s/nom CCR P1,7048,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Costo Camion P1,13632.93,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv Costo Camion P1,22222.4,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit Costo Camion P1,12871.14,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P1,11517,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P2,27206.51,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CCR P2,42539.09,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CCR P2,22384.68,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P2,13320.63,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CC P2,19390.07,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CC P2,10307.36,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P3,11303.23,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CCR P3,17705.61,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CCR P3,9306.02,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P3,8625.28,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Rcv CC P3,14411.62,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Infonavit CC P3,7574.69,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Casetas viales P1,5210.27,P001,PRODUCCION,2,Casetas Viales,DIRECTO,
Uniformes de Trabajo P1,6061.18,P001,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Verificaciones Vehiculares P1,969.83,P001,MANTENIMIENTO,8,Verificaciones Vehiculares,DIRECTO,
Renta de CR P1,285678,P001,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Servicio de bombeo P1,21257.5,P001,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Arrendamiento Leasing P1,8411.2,P001,PRODUCCION,4,Renta de Vehículos (Leasing),DIRECTO,
Renta de Maquinaria P2,468463.33,P002,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Uniformes de Trabajo P2,3763.82,P002,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Servicio de bombeo P2,25672.5,P002,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Renta de Terreno P2,65000,P002,PRODUCCION,4,Renta de Terrenos,DIRECTO,
Renta de Maquinaria P3,30000,P003,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Casetas viales P4,120.69,P004P,PRODUCCION,2,Casetas Viales,DIRECTO,
Uniformes de Trabajo P4,1586.85,P004P,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Servicio de bombeo P4,25912.5,P004P,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Concreto Premezclado P4,41879.32,P004P,PRODUCCION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
Servicio de Grua P5,100000,P005,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Arrendamiento Leasing P5,24974.86,P005,PRODUCCION,4,Renta de Vehículos (Leasing),DIRECTO,
Casetas viales P6,318,P005,PRODUCCION,2,Casetas Viales,DIRECTO,
Imss Admon P1,21056.85,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
Rcv Admon P1,48034.07,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
Infonavit Admon P1,25682.47,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
3% S/nom Admon P1,10841,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
Dominio Correo P1,5460,gen,ADMINISTRACION,7,Dominios y Hosting,DISTRIBUIR_VOLUMEN,
Atencion al Personal P1,11175.96,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P1,11907,P001,PRODUCCION,7,Licencias de Software,DIRECTO,
Soporte de Sistemas P1,40000,P001,PRODUCCION,5,Soporte de Sistemas,DIRECTO,
Papeleria P1,5257.54,P001,PRODUCCION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P1,5280.05,P001,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Telefonia e Internet P1,14702.53,P001,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Honorarios P1,29387.74,P001,ADMINISTRACION,5,Honorarios y Asesorías,DIRECTO,
Tramites Legales P1,233,P001,ADMINISTRACION,5,Servicios Legales y Trámites,DIRECTO,
Paqueteria y Envios P1,1988.83,P001,ADMINISTRACION,14,Paquetería y Envíos,DIRECTO,
Agua de Garrafon P1,1144,P001,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
Impuestos y Derechos P1,1313,P001,GENERAL,13,Derechos,DIRECTO,
Articulos de Limpieza P1,575.48,P001,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
Gastos No deducibles P1,848.83,P001,GENERAL,12,Seguros,DIRECTO,
Recargos P1,2113.09,P001,GENERAL,11,Recargos,DIRECTO,
Combustibles y Gasolina P1,24495.8,P001,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Seguros y Fianzas P1,1600,P001,GENERAL,12,Seguros,DIRECTO,
Renta de Equipo de Impresion P1,6000,P001,ADMINISTRACION,4,Renta de Maquinaria y Equipo,DIRECTO,
Imss Admon P2,14266.8,tj,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_BU,
Rcv Admon P2,28831.95,tj,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_BU,
Infonavit Admon P2,15153.98,tj,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_BU,
Atencion al Personal P2,50806.41,tj,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DISTRIBUIR_BU,
Licencias de Sistemas P2,11907,P002,PRODUCCION,7,Licencias de Software,DIRECTO,
Papeleria P2,832.41,P002,PRODUCCION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P2,52634.15,P002,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Arrendamientos P2,74959.31,P002,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
Telefonia e Internet P2,3970.25,P002,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Paqueteria y Envios P2,3571.87,P002,ADMINISTRACION,14,Paquetería y Envíos,DIRECTO,
Agua de Garrafon P2,1035.5,P002,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
Gastos no Deducibles P2,2071.59,P002,GENERAL,12,Seguros,DIRECTO,
Articulos de limpieza P2,3181.77,P002,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
Combustible y Gasolina P2,55718.63,P002,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Imss Admon P3,15317.04,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
Rcv Admon P3,30885.17,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
Infonavit Admon P3,16233.15,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
Atencion al Personal P3,3040.74,P003,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P3,11907,P003,PRODUCCION,7,Licencias de Software,DIRECTO,
Viaticos P3,3679,P003,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Arrendamientos P3,15000,P003,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
Telefonia e Internet P3,3788.39,P003,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Agua de Garrafon P3,141,P003,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
3% S/Nom Admon P4,1178,P004P,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Admon P4,7864.69,P004P,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
