CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
Imss Costo Concreto P1,7997.51,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Costo Camion P1,15047.42,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P2,16398,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P2,5879.07,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P3,6284.76,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P3,5038.8,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Casetas viales P1,3240.54,P001,VENTAS,2,Casetas Viales,DIRECTO,
Uniformes de Trabajo P1,3672.74,P001,PRODUCCION,9,Uniformes de Trabajo,DIRECTO,
Renta de CR P1,285678,P001,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Arrendamiento Leasing P1,8411.2,P001,ADMINISTRACION,4,Renta de Vehículos (Leasing),DIRECTO,
Renta de Maquinaria P2,436808.15,P002,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Uniformes de Trabajo P2,10263.22,P002,PRODUCCION,9,Uniformes de Trabajo,DIRECTO,
Renta de Terreno P2,65000,P002,PRODUCCION,4,Renta de Terrenos,DIRECTO,
Renta de Maquinaria P3,840000,P003,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Casetas viales P4,4333.21,P004P,VENTAS,2,Casetas Viales,DIRECTO,
Servicio de Grua P5,15000,P005,MANTENIMIENTO,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Arrendamiento Leasing P5,24974.86,P005,ADMINISTRACION,4,Renta de Vehículos (Leasing),DIRECTO,
Imss Admon P1,23313,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Dominio Correo P1,5460,P001,ADMINISTRACION,7,Dominios y Hosting,DIRECTO,
Atencion al Personal P1,22292.68,P001,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P1,11907,P001,ADMINISTRACION,7,Licencias de Software,DIRECTO,
Soporte de Sistemas P1,65862.06,P001,ADMINISTRACION,5,Soporte de Sistemas,DIRECTO,
Papeleria P1,4949.15,P001,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P1,8618.21,P001,ADMINISTRACION,9,Viáticos,DIRECTO,
Telefonia e Internet P1,15119.35,P001,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Honorarios P1,29387.74,P001,ADMINISTRACION,5,Honorarios y Asesorías,DIRECTO,
Paqueteria y Envios P1,1642.69,P001,ADMINISTRACION,14,Paquetería y Envíos,DIRECTO,
Agua de Garrafon P1,1872,P001,PRODUCCION,6,Agua de Garrafón,DIRECTO,
Impuestos y Derechos P1,18309,P001,ADMINISTRACION,13,Derechos,DIRECTO,
Articulos de Limpieza P1,2058.14,P001,ADMINISTRACION,6,Artículos de Limpieza,DIRECTO,
Gastos No deducibles P1,18845.05,P001,ADMINISTRACION,12,Seguros,DIRECTO,
Combustibles y Gasolina P1,16040.78,P001,ADMINISTRACION,2,Combustible y Gasolina,DIRECTO,
Seguros y Fianzas P1,93578.48,P001,ADMINISTRACION,12,Seguros,DIRECTO,
Renta de Equipo de Impresion P1,6000,P001,ADMINISTRACION,4,Renta de Maquinaria y Equipo,DIRECTO,
