CONCEPTO,MONTO,PLANTA,DEPARTAMENTO,cash
Imss CCR P4,11514.12,P004P,PRODUCCION,
Rcv CCR P4,15495.99,P004P,PRODUCCION,
Infonavit CCR P4,8440.63,P004P,PRODUCCION,
3% S/Nom CCR P4,3754,P004P,PRODUCCION,
3% S/Nom CC P4,2636,P004P,PRODUCCION,
Imss CC P4,9296.65,P004P,PRODUCCION,
Rcv CC P4,13236.08,P004P,PRODUCCION,
Infonavit CC P4,7281.42,P004P,PRODUCCION,
Imss CCR P5,16524.07,P005,PRODUCCION,
Rcv CCR P5,22336.29,P005,PRODUCCION,
Infonavit CCR P5,12141.37,P005,PRODUCCION,
3% S/Nom CCR P5,6037,P005,PRODUCCION,
3% S/Nom CC P5,3296,P005,PRODUCCION,
Imss CC P5,10611.27,P005,PRODUCCION,
Rcv CC P5,15776.73,P005,PRODUCCION,
Infonavit CC P5,8765.8,P005,PRODUCCION,
Imss Costo Concreto P1,7522.02,P001,PRODUCCION,
Rcv Costos Concreto P1,13412.04,P001,PRODUCCION,
Infonavit Costo Concreto P1,7430.62,P001,PRODUCCION,
3% s/nom CCR P1,5889,P001,PRODUCCION,
Imss Costo Camion P1,16716.38,P001,PRODUCCION,
Rcv Costo Camion P1,21110.87,P001,PRODUCCION,
Infonavit Costo Camion P1,12399.21,P001,PRODUCCION,
3% S/Nom CC P1,11376,P001,PRODUCCION,
Imss CCR P2,18606.11,P002,PRODUCCION,
Rcv CCR P2,31187.18,P002,PRODUCCION,
Infonavit CCR P2,16525.4,P002,PRODUCCION,
Imss CC P2,7252.04,P002,PRODUCCION,
Rcv CC P2,11171.51,P002,PRODUCCION,
Infonavit CC P2,6007.43,P002,PRODUCCION,
Casetas viales P1,5922.42,P001,VENTAS,
Uniformes de Trabajo P1,4342.2,P001,PRODUCCION,
Verificaciones Vehiculares P1,323.28,P001,ADMINISTRACION,
Renta de CR P1,285678,P001,PRODUCCION,
Arrendamiento Leasing P1,320148.53,P001,ADMINISTRACION,
Renta de Maquinaria P2,772598.16,P002,PRODUCCION,
Uniformes de Trabajo P2,769.81,P002,PRODUCCION,
Servicio de bombeo P2,116865,P002,PRODUCCION,
Renta de Terreno P2,65000,P002,PRODUCCION,
Casetas viales P4,4732.77,P004P,VENTAS,
Arrendamiento Leasing P5,24974.86,P005,ADMINISTRACION,
Casetas viales P6,288,GEN,VENTAS,
Imss Admon P1,22378.12,P001,ADMINISTRACION,
Rcv Admon P1,47474.66,P001,ADMINISTRACION,
Infonavit Admon P1,25442.37,P001,ADMINISTRACION,
3% S/nom Admon P1,15767,P001,ADMINISTRACION,
Dominio Correo P1,5460,P001,ADMINISTRACION,
Atencion al Personal P1,19142.27,P001,ADMINISTRACION,
Licencias de Sistemas P1,56344.9,P001,ADMINISTRACION,
Soporte de Sistemas P1,40000,P001,ADMINISTRACION,
Papeleria P1,8084.21,P001,ADMINISTRACION,
Viaticos P1,5071.58,P001,ADMINISTRACION,
Telefonia e Internet P1,14094.84,P001,ADMINISTRACION,
Honorarios P1,29387.74,P001,ADMINISTRACION,
Tramites Legales P1,23403.44,P001,ADMINISTRACION,
Paqueteria y Envios P1,1828.68,P001,ADMINISTRACION,
Agua de Garrafon P1,1092,P001,PRODUCCION,
Impuestos y Derechos P1,19546,P001,ADMINISTRACION,
Articulos de Limpieza P1,1313.05,P001,ADMINISTRACION,
Gastos No deducibles P1,371744.16,P001,ADMINISTRACION,
Recargos P1,109.05,P001,GENERAL,
Combustibles y Gasolina P1,27900.22,P001,ADMINISTRACION,
Seguros y Fianzas P1,1300,P001,ADMINISTRACION,
Renta de Equipo de Impresion P1,6000,P001,ADMINISTRACION,
Imss Admon P2,21660.13,P002,ADMINISTRACION,
Rcv Admon P2,51201.94,P002,ADMINISTRACION,
Infonavit Admon P2,26911.56,P002,ADMINISTRACION,
Atencion al Personal P2,23968.64,P002,ADMINISTRACION,
Licencias de Sistemas P2,50197.8,P002,ADMINISTRACION,
Papeleria P2,300.93,P002,ADMINISTRACION,
Viaticos P2,49435.29,P002,ADMINISTRACION,
Arrendamientos P2,43763.59,P002,ADMINISTRACION,
Telefonia e Internet P2,6606.13,P002,ADMINISTRACION,
Paqueteria y Envios P2,6856.3,P002,ADMINISTRACION,
Agua de Garrafon P2,429,P002,PRODUCCION,
Gastos no Deducibles P2,9049.46,P002,ADMINISTRACION,
Combustible y Gasolina P2,107846.47,P002,ADMINISTRACION,
3% S/Nom Admon P4,1557,P004P,ADMINISTRACION,
Imss Admon P4,5176.99,P004P,ADMINISTRACION,
Rcv Admon P4,5498.47,P004P,ADMINISTRACION,
Infonavit Admon P4,3329.81,P004P,ADMINISTRACION,
Licencias de Sistemas P4,24384.9,P004P,ADMINISTRACION,
Papeleria P4,1923.75,P004P,ADMINISTRACION,
Viaticos P4,2765.09,P004P,ADMINISTRACION,
Telefonia e Internet P4,2510.34,P004P,ADMINISTRACION,
Renta de Baños P4,5600,P004P,PRODUCCION,
Rcv Admon P5,11588.75,P005,ADMINISTRACION,
Infonavit Admon P5,6360.54,P005,ADMINISTRACION,
3% S/nom Admon P5,963,P005,ADMINISTRACION,
Atencion al Personal P5,45498.33,P005,ADMINISTRACION,
Viaticos P5,4642.94,P005,ADMINISTRACION,
Arrendamientos P5,7500,P005,ADMINISTRACION,
Telefonia e Internet P5,5956.89,P005,ADMINISTRACION,
Tramites Legales P5,30647,P005,ADMINISTRACION,
Combustibles y Gasolina P5,28891.63,P005,ADMINISTRACION,
Seguros y Fianzas P5,900,P005,ADMINISTRACION,
Imss Ventas P1,1871.49,P001,VENTAS,
Rcv Ventas P1,3948.62,P001,COMERCIAL,
Infonavit Venta P1,2075.38,P001,COMERCIAL,
3% s/nom Vtas P1,2464,P001,COMERCIAL,
Gastos de Venta P1,26120.51,P001,VENTAS,
Publicidad P1,15119.7,P001,VENTAS,
VIATICOS ABELARDO SLP,119.59,BJ,MANTENIMIENTO,cash
TALACHA P1,450,P001,ADMINISTRACION,cash
COMIDA DE RESCATE SLP,300,4P Y 5,ADMINISTRACION,cash
COMIDA P1 AUTORIZADA ,1500,P001,ADMINISTRACION,cash
VIATICOS ALEX DIAZ Y SALVADOR SLP P4,1700,P004P,ADMINISTRACION,cash
CASETAS SALVADOR GRAJEDA P5,500,P005,MANTENIMIENTO,cash
APOYO TECNICO CUMPLIMIENTO SECRETARIA DE OBRA GTO P5,15000,P005,ADMINISTRACION,cash
DADIVA GUARDIA NACIONAL SLP,5000,4P Y 5,ADMINISTRACION,cash
DADIVA GUARDIA NACIONAL P1,5000,P001,ADMINISTRACION,cash
CERRAJERIA TJ ALBERTO TORRES,500,P002,ADMINISTRACION,cash
SOLDADURA PILETA LAB P5,8491.6,P005,PRODUCCION,cash
PAGO A DIEGO DUEÑAS  TRABAJOS DE LA PITAHAYA,50000,P004P,PRODUCCION,cash
REP DE CJA DE P4,6100,P004P,ADMINISTRACION,cash
,,,,
REP DE CJA DE KAREN RH P1,7758.81,P001,ADMINISTRACION,cash
PAGO DE VERIFICACION VEHICULAR TIGUAN P1,800,P001,ADMINISTRACION,cash
CAMBIO DE ACEITE A Y MANTO GENERAL P1,4000,P001,MANTENIMIENTO,cash
REP VIATICOS ALBERTO PADILLA P1,1183.43,P001,ADMINISTRACION,cash
REP GASTOS EVELIN RH TJ,4962,P002,RECURSOS HUMANOS,cash
,,,,
TRAMITE DE CFE SAN LUIS P4,15000,P004P,ADMINISTRACION,cash
VIATICOS Y TALACHAS SAN LUIS  ABELARDO P4,1500,P004P,ADMINISTRACION,cash
RENTA DE TERRENO P4,22000,P004P,PRODUCCION,cash
CASETAS OMAR SAUCEDO P5,500,P005,PRODUCCION,cash
HONORARIOS ASUNTOS CODUCEF LIC ANTONIO Y LIC ARANDA,15000,GEN,ADMINISTRACION,cash
REP DE CJA DE P5,4617,P005,ADMINISTRACION,cash
RENTA DE CUARTO EN VILLA DE REYES HECTOR Y SALVADOR GRAJEDA,650,P005,ADMINISTRACION,cash
TORTAS AUTORIZADAS PARA P1,245,P001,PRODUCCION,cash
PAGO RENOVACION DE CERTIFICADO IDSE DE SLP ,3800,4P Y 5,ADMINISTRACION,cash
APOYOS SLP 14 Y 15 ABRIL 2026 SAFE,3200,4P Y 5,ADMINISTRACION,cash
VIATICOS TRAYECTO TIJUANA SILAO,12700,P002,ADMINISTRACION,cash
GASOLINA DE SALVADOR GRAJEDA P1,1112,P001,MANTENIMIENTO,cash
VIAJES DE AGUA DE P4 ,4200,P004P,PRODUCCION,cash
RENTA DE TERRENO P5 VILLA DE REYES,30000,P005,PRODUCCION,cash
VIATICOS DE ALEX DIAZ Y ENRIQUE FELIX A CIUDAD DE MEXICO P2,3000,P002,ADMINISTRACION,cash
PLACAS CAMIONETA L200 ENRIQUE FELIX,5000,GEN,ADMINISTRACION,cash
APOYO DE VIATICOS A SLP MIGUEL RMZ Y ALEJANDRO JUAREZ P5,800,P005,PRODUCCION,cash
COMPRA TORTAS Y REFRESCOS P1,932,P001,PRODUCCION,cash
VIATICOS A SLP ABELARDO P4,500,P004P,ADMINISTRACION,cash
PAGO DE TRASLADO DE CAMIONES SAFE ,6000,GEN,ADMINISTRACION,cash
APOYO A OPERADORES DE P1 A P5,1200,P005,PRODUCCION,cash
RENTA CAMPAMENTO P5,7500,P005,ADMINISTRACION,cash
REP CAJA P5 MARIO PEREZ,2665.5,P005,ADMINISTRACION,cash
REP CAJA P4 MARIO PEREZ,10143,P004P,ADMINISTRACION,cash
VIATICOS A SLP ABELARDO P4,500,P004P,ADMINISTRACION,cash
,,,,
GASTOS CUMPULSA LIC ANTONIO ASUNTO CONDUSEF,5000,GEN,ADMINISTRACION,cash
PAGO GRUA TRASLADO PIPA P5,9000,P005,PRODUCCION,cash
,,POR DEFINIR,POR DEFINIR,cash
DADIVA POR inspección federal de carga,15000,GEN,ADMINISTRACION,cash
MANO DE OBRA DIACE P5,11500,P005,PRODUCCION,cash
TARIFA NOTARIA 6 SAN FELIPE  COMTRATOS CEMEX Y PROMEXMA," $238,886.04 ",GEN,ADMINISTRACION,cash
APOYO OMAR AUCEDO BOMBA PLUMA P5,4200,P005,PRODUCCION,cash
REPOSICION DE CAJA DE P4,2807,P004P,ADMINISTRACION,cash
REPOSICION DE CAJA DE P5,7310.59,P005,ADMINISTRACION,cash
ABONO HONORARIOS LIC CASTILLO ASUNTO LANTANA,50000,P001,ADMINISTRACION,cash
SISTEMA DESPACHADOR DE UREA Y CUENTA LITROS P5,16000,P005,MANTENIMIENTO,cash
RENTA DEPTO HECTOR MORALES VILLA DE REYES P5,3000,P005,ADMINISTRACION,cash
,,,,
HOTEL VILLA DEL CARBON P2 ,1300,P002,ADMINISTRACION,cash
VIATICOS SANTIAGO DIAZ,500,GEN,ADMINISTRACION,cash
ALMUERZO P1 ENTRADA TEMPRANO,1206,P001,ADMINISTRACION,cash
ALMUERZO P1 ENTRADA TEMPRANO,1079,P001,ADMINISTRACION,cash
RENTA DE MAYO TERRENO LAVADO DE OLLAS P1,5000,P001,ADMINISTRACION,cash
,,,,
,,,,
REPOSICION DE CJA DE P4,2807,P004P,ADMINISTRACION,cash
