CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
Imss CCR P4,51.86,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CCR P4,731,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P4,385,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P4,17.06,P004P,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Urea Costo Vtas P5,309,P005,PRODUCCION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
Imss CCR P5,11440.15,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CCR P5,3715,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P5,1954,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P5,6830.43,P005,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Urea Costo Vtas P1,6489,P001,PRODUCCION,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,
Imss Costo Concreto P1,7887.01,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% s/nom CCR P1,11459,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Costo Camion P1,14847.96,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P1,13672,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P2,30310.98,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P2,15785.57,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P3,12425.88,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P3,11192.43,P003,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Electricidad Planta 1,11532.85,P001,PRODUCCION,3,Electricidad,DIRECTO,
Casetas viales P1,16799.2,P001,PRODUCCION,2,Casetas Viales,DIRECTO,
Uniformes de Trabajo P1,2308.84,P001,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Renta de CR P1,285678,P001,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Arrendamiento Leasing P1,8411.2,P001,PRODUCCION,4,Renta de Vehículos (Leasing),DIRECTO,
Renta de Maquinaria P2,611652.98,P002,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Uniformes de Trabajo P2,4081.74,P002,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Servicio de bombeo P2,52605,P002,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Renta de Terreno P2,195000,P002,PRODUCCION,4,Renta de Terrenos,DIRECTO,
Renta de Maquinaria P3,300400,P003,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Uniformes de Trabajo P3,516.38,P003,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Servicio de Bombeo P3,40320,P003,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Renta de Maquinaria P4,130000,P004P,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Casetas viales P4,5963.96,P004P,PRODUCCION,2,Casetas Viales,DIRECTO,
Manto de Maquinaria P4,32061.35,P004P,PRODUCCION,8,Reparaciones y Mantenimiento,DIRECTO,
Uniformes de Trabajo P4,7168.99,P004P,RECURSOS HUMANOS,9,Uniformes de Trabajo,DIRECTO,
Manto de Planta P4,182561.43,P004P,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,
Renta de Maquinaria P5,191393.87,P005,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,
Pruebas de laboratorio P5,3850,P005,CALIDAD,14,Otros Gastos Varios,DIRECTO,
Servicio de Grua P5,15500,P005,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,
Arrendamiento Leasing P5,24974.86,P005,PRODUCCION,4,Renta de Vehículos (Leasing),DIRECTO,
Imss Admon P1,23062.05,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
3% S/nom Admon P1,12279,gen,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_VOLUMEN,
Dominio Correo P1,4680,gen,ADMINISTRACION,7,Dominios y Hosting,DISTRIBUIR_VOLUMEN,
Comisiones Vales Despensa P1,12149.8,P001,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Atencion al Personal P1,9705.41,P001,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,
Licencias de Sistemas P1,11907,P001,PRODUCCION,7,Licencias de Software,DIRECTO,
Soporte de Sistemas P1,12931.03,P001,PRODUCCION,5,Soporte de Sistemas,DIRECTO,
Papeleria P1,5412.02,P001,PRODUCCION,6,Papelería y Artículos de Oficina,DIRECTO,
Telefonia e Internet P1,15169.83,P001,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Honorarios P1,29387.74,P001,ADMINISTRACION,5,Honorarios y Asesorías,DIRECTO,
Paqueteria y Envios P1,989.35,P001,ADMINISTRACION,14,Paquetería y Envíos,DIRECTO,
Agua de Garrafon P1,988,P001,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
Articulos de Limpieza P1,2937.21,P001,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
Gastos No deducibles P1,640.04,P001,GENERAL,12,Seguros,DIRECTO,
Recargos P1,45,P001,GENERAL,11,Recargos,DIRECTO,
Combustibles y Gasolina P1,15096.97,P001,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Seguros y Fianzas P1,10602.63,P001,GENERAL,12,Seguros,DIRECTO,
Articulos de Oficina P1,292.25,P001,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,
Renta de Equipo de Impresion P1,6000,P001,ADMINISTRACION,4,Renta de Maquinaria y Equipo,DIRECTO,
Imss Admon P2,15684.88,tj,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DISTRIBUIR_BU,
Atencion al Personal P2,25439.54,tj,RECURSOS HUMANOS,9,"Atención al Personal (Comidas, Almuerzo)",DISTRIBUIR_BU,
Licencias de Sistemas P2,11907,P002,PRODUCCION,7,Licencias de Software,DIRECTO,
Papeleria P2,1499.99,P002,PRODUCCION,6,Papelería y Artículos de Oficina,DIRECTO,
Viaticos P2,7777.17,P002,RECURSOS HUMANOS,9,Viáticos,DIRECTO,
Arrendamientos P2,26980.37,P002,PRODUCCION,4,Renta de Inmuebles,DIRECTO,
Telefonia e Internet P2,3153.11,P002,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,
Agua de Garrafon P2,767,P002,RECURSOS HUMANOS,6,Agua de Garrafón,DIRECTO,
Gastos no Deducibles P2,9490.04,P002,GENERAL,12,Seguros,DIRECTO,
Articulos de limpieza P2,3765.63,P002,LIMPIEZA,6,Artículos de Limpieza,DIRECTO,
Combustible y Gasolina P2,25114.52,P002,PRODUCCION,2,Combustible y Gasolina,DIRECTO,
Tarifa Uber P2,146.5,tj,ADMINISTRACION,2,"Transporte Ejecutivo (Uber, Taxis)",DISTRIBUIR_BU,
Imss Admon P3,16847.63,P003,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,
