CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,NOTAS
Urea Costo Vtas P4,7001.46,4,PRODUCCION,1,Materiales de Producción (Urea, Concreto, Materiales Pétreos),DIRECTO,
Imss CCR P4,7655.03,4,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P4,5776.2,4,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P5,7892.58,5,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CCR P5,188,5,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P5,738,5,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P5,6610.47,5,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Urea Costo Vtas P1,7006.06,1,PRODUCCION,1,Materiales de Producción (Urea, Concreto, Materiales Pétreos),DIRECTO,
Imss Costo Concreto P1,6513.17,1,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% s/nom CCR P1,4444,1,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss Costo Camion P1,16509.93,1,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
3% S/Nom CC P1,17432,1,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CCR P2,31282.07,2,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P2,23604.29,2,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Urea Costo Vtas P3,1788,3,PRODUCCION,1,Materiales de Producción (Urea, Concreto, Materiales Pétreos),DIRECTO,
Imss CCR P3,16448.11,3,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
Imss CC P3,10018.86,3,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,
