CATEGORIA,NOMBRE,ESPECIFICACION,MARCA,CANTIDAD,UBICACION,STOCK_MINIMO,PROVEEDOR,ULTIMA_COMPRA,NOTAS
Aceites y Lubricantes,Aceite para compresor,,Mexicana Lubricantes,19L,Almacén,,,,
Aceites y Lubricantes,Grasa para generadora ,,Mexicana Lubricantes,1/4kg,Almacén,,,,
Aceites y Lubricantes,Aceite para diferencial,85w140,Fleetrite,20L,Almacén,,,,
Aceites y Lubricantes,Aceite para comprersor,,Chevron,1/4 L,Almacén,,,,
Aceites y Lubricantes,Aceitede motor para Cat 938G ,15w40,Caterpillar,8L,Almacén,,,,
Aceites y Lubricantes,Anticongelante international ,50/50,International ,34L,Almacén,,,,
Aceites y Lubricantes,Aceite Hidraulico ,Rojo,International ,10L,Almacén,,,,
Aceites y Lubricantes,Acido ,,Soluciones Quimicas,60L,Almacén,,,,
Aceites y Lubricantes,Lubricante Eaton ,15w90,Eaton,10L,Almacén,,,,
Aceites y Lubricantes,Aceite para diferencial y transmision manual,85w140,,57L,Almacén,,,,
Aceites y Lubricantes,Aceite para Bomba International ,15w40,International ,17L,Almacén,,,,
Aceites y Lubricantes,Aceite de transmision Cat 938G,,Caterpillar,48L,Almacén,,,,
Aceites y Lubricantes,Anticongelante para generadora ,Azul,Cummins,20L,Almacén,,,,
Aceites y Lubricantes,Aceite hidraulico para international,,International ,15L,Almacén,,,,
Aceites y Lubricantes,Aceite Hidraulico para bomba sustra Sitrak,ISO VG 68,Mobil,76L,Almacén,,,,
Aceites y Lubricantes,Aceite  de motor para John Deer,15w40,John Deer,8L,Almacén,,,,
Aceites y Lubricantes,Aceite de diferencial para Sitrak,75W90,,180L,Almacén,,,,
Aceites y Lubricantes,Aceite de diferencial para Sitrak,75wW80,,265L,Almacén,,,,
Aceites y Lubricantes,Aceite de motor para Sitrak,10W40,Scania,69L,Almacén,,,,
Aceites y Lubricantes,Anticongelantge para Sitrak,50/50 rojo,Yukoil,150L,Almacén,,,,
Aceites y Lubricantes,Anticongelante para International ,,International ,180L,Almacén,,,,
Aceites y Lubricantes,Aceite de diferencial para International,,International ,104L,Almacén,,,,
Filtros,Filtro de Aire secundario,0021-Corto,Sitrak,4,Almacén,,,,
Filtros,Filtro de aire p/s ,0021-corto ,Sitrak,2,Almacén,,,,
Filtros,Filtro diesel ,,Sitrak,8,Almacén,,,,
Filtros,Filtro bomba sustra,,Sitrak,10,Almacén,,,,
Filtros,Filtro de aceite ,,Sitrak,11,Almacén,,,,
Filtros,Filtro secundario largo,,Sitrak,1,Almacén,,,,
Filtros,Filtro separador de agua,,Sitrak,11,Almacén,,,,
Filtros,Filtro de a/c,,Sitrak,11,Almacén,,,,
Filtros,Filtro direccion hidraulica,,Sitrak,9,Almacén,,,,
Filtros,Filtro de transmision ZF (intarder),,Sitrak,9,Almacén,,,,
Filtros,Filtro de transmision  automatica ,,Sitrak,4,Almacén,,,,
Filtros,Filtro de urea ,,Sitrak,8,Almacén,,,,
Filtros,Filtro secador de aire ,,Sitrak,9,Almacén,,,,
Filtros,Banda de motor,,Sitrak,10,Almacén,,,,
Filtros,Filtro de aire corto primario-secundario,,Sitrak,8,Almacén,,,,
Filtros,Filtro de aire primario largo,00-61,Sitrak,1,Almacén,,,,
Filtros,Filtro de aire secundario,,international ,1,Almacén,,,,
Filtros,Filtro hidraulico,,fleetgraud,2,Almacén,,,,
Filtros,Filtro hidraulico,,,1,Almacén,,,,
Filtros,Filtro de combustible para cat 938g,,Donalsond,1,Almacén,,,,
Filtros,Filtro de combustible ,,fleetgraud,2,Almacén,,,,
Filtros,Filtro ,,,1,Almacén,,,,
Filtros,Filtro lubricante,,fleetgraud,1,Almacén,,,,
Filtros,Filtro separador,,Cummins,1,Almacén,,,,
Filtros,Filtro de combustible ,,Donalsond,1,Almacén,,,,
Filtros,Filtro ,,-,1,Almacén,,,,
Filtros,Luces de trabajo CAT 938G,,CAT,2,Almacén,,,,
Filtros,Filtro John Deer ,,JD,1,Almacén,,,,
Filtros,Filtro ,,,1,Almacén,,,,
Filtros,Filtro de aire Kenworth,,Kenworth,1,Almacén,,,,
Filtros,Filtro de aire Primario-secundario,,Donalsond,1,Almacén,,,,
Filtros,Filtro de aire Secundario,,Donalsond,1,Almacén,,,,
Filtros,Filtro de aire secundario,,Donalsond,2,Almacén,,,,
Filtros,Filtro de aire secundario,,Donalsond,1,Almacén,,,,
Filtros,Filtro de aire secundario,,Donalsond,2,Almacén,,,,
Filtros,Filtro de aire Primario-secundario,,Donalsond,1,Almacén,,,,
Filtros,Filtro de aire secundario,,Donalsond,1,Almacén,,,,
Filtros,Filtro de aire Primario-secundario,,Donalsond,1,Almacén,,,,
Filtros,Turbos,,Kenworth,2,Almacén,,,,
Herramientas y EPP,LENTES ,,,13,Almacén,,,,
Herramientas y EPP,MARRO,,,6,Almacén,,,,
Herramientas y EPP,CASCO,,,2,Almacén,,,,
Herramientas y EPP,GUANTES DE LATEX,,,4,Almacén,,,,
Herramientas y EPP,GUANTES DE CARNZASA,,,0,Almacén,,,,
Herramientas y EPP,BARBIQUEJO,,,1,Almacén,,,,
Herramientas y EPP,SINCEL,,,6,Almacén,,,,
Herramientas y EPP,ESPATULA,,,0,Almacén,,,,
Herramientas y EPP,PSTOLAS DE AGUA ,,,4,Almacén,,,,
Herramientas y EPP,GRASERAS ,,,8,Almacén,,,,
Herramientas y EPP,KIT PARA INTERNATIONAL MOD EATON,,,1,Almacén,,,,
Herramientas y EPP,PALANCA SITRAK,,,1,Almacén,,,,
Herramientas y EPP,BUJIAS ,,,1,Almacén,,,,
Herramientas y EPP,GAS PARA AIRE ACONDICIONADO,,,1,Almacén,,,,
Herramientas y EPP,VALVULA DE AIRE PARA INTERNATIONAL ,,,1,Almacén,,,,
Herramientas y EPP,CAJA DE HERRAMIENTA MARCA HUSKY,,,185 PZ,Almacén,,,,
Herramientas y EPP,CAJA DE HERRAMIENTA ALMACEN,,,185PZ,Almacén,,,,
Herramientas y EPP,TURBO KENWORTH,,,2,Almacén,,,,
Herramientas y EPP,CEPILLOS PARA PLANTA ,,,1,Almacén,,,,
Herramientas y EPP,CEPILLOS PARA CAMION-LIMPIEZA,,,,Almacén,,,,
