CONCEPTO,VALOR,PLANTA,DEPARTAMENTO
3% S/Nom CCR P4,3011.49,P004,PRODUCCION
3% S/Nom CC P4,4277.3,P004,PRODUCCION
Imss CCR P5,9920.54,P005,PRODUCCION
Rcv CCR P5,12070.97,P005,PRODUCCION
Infonavit CCR P5,7442.55,P005,PRODUCCION
3% S/Nom CCR P5,315,P005,PRODUCCION
3% S/Nom CC P5,442,P005,PRODUCCION
Imss CC P5,12085.83,P005,PRODUCCION
Rcv CC P5,13052.67,P005,PRODUCCION
Infonavit CC P5,8095.65,P005,PRODUCCION
Urea Costo Vtas P1,6279.91,P001,PRODUCCION
Imss Costo Concreto P1,6730.26,P001,PRODUCCION
Rcv Costos Concreto P1,11387.49,P001,PRODUCCION
Infonavit Costo Concreto P1,6985.88,P001,PRODUCCION
3% s/nom CCR P1,4113,P001,PRODUCCION
Imss Costo Camion P1,18704.43,P001,PRODUCCION
Rcv Costo Camion P1,29389.39,P001,PRODUCCION
Infonavit Costo Camion P1,18251.27,P001,PRODUCCION
3% S/Nom CC P1,5756,P001,PRODUCCION
Imss CCR P2,31422.29,P002,PRODUCCION
Rcv CCR P2,44219.65,P002,PRODUCCION
Infonavit CCR P2,26252.46,P002,PRODUCCION
3% S/Nom CCR P2,11158.51,P002,PRODUCCION
3% S/Nom CC P2,14732.54,P002,PRODUCCION
Imss CC P2,26546.27,P002,PRODUCCION
Rcv CC P2,36203.75,P002,PRODUCCION
Infonavit CC P2,21493.53,P002,PRODUCCION
Urea Costo Vtas P3,298,P003,PRODUCCION
Imss CCR P3,13265.37,P003,PRODUCCION
Rcv CCR P3,19670.9,P003,PRODUCCION
Infonavit CCR P3,11678.28,P003,PRODUCCION
3% S/Nom CCR P3,5015,P003,PRODUCCION
3% S/Nom CC P3,7838.15,P003,PRODUCCION
Imss CC P3,1979.29,P003,PRODUCCION
Rcv CC P3,5919.92,P003,PRODUCCION
Infonavit CC P3,3514.55,P003,PRODUCCION
Electricidad Planta 1,9452.22,P001,PRODUCCION
Casetas viales P1,11539.68,P001,PRODUCCION
Uniformes de Trabajo P1,8576.09,P001,PRODUCCION
Renta de CR P1,285678,P001,PRODUCCION
Concreto Premezclado P1,9931.04,P001,PRODUCCION
Arrendamiento Leasing P1,8411.2,P001,PRODUCCION
Renta de Maquinaria P2,886778.16,P002,PRODUCCION
Uniformes de Trabajo P2,289.64,P002,PRODUCCION
Antidopig P2,637.96,P002,RECURSOS HUMANOS
Renta de Maquinaria P3,1245000,P003,PRODUCCION
Servicio de Bombeo P3,26302.5,P003,PRODUCCION
Renta de Maquinaria P4,260000,P004,PRODUCCION
Manto de Maquinaria P4,800,P004,PRODUCCION
Renta de Maquinaria P5,69913.79,P005,PRODUCCION
Casetas viales P5,6394.9,P005,PRODUCCION
Servicio de bombeo P5,4500,P005,PRODUCCION
Arrendamiento Leasing P5,24974.86,P005,PRODUCCION
Imss Admon P1,22947.06,P001,ADMINISTRACION
Rcv Admon P1,43711.61,P001,ADMINISTRACION
Infonavit Admon P1,26338.47,P001,ADMINISTRACION
3% S/nom Admon P1,33769,P001,ADMINISTRACION
Dominio Correo P1,4680,GEN,GENERAL
Comisiones Vales Despensa P1,11506.81,P001,RECURSOS HUMANOS
Atencion al Personal P1,36761.93,P001,RECURSOS HUMANOS
Licencias de Sistemas P1,11907,P001,PRODUCCION
Soporte de Sistemas P1,40000,GEN,GENERAL
Papeleria P1,4801.25,P001,ADMINISTRACION
Telefonia e Internet P1,14649.94,P001,ADMINISTRACION
Honorarios P1,29387.74,P001,ADMINISTRACION
Paqueteria y Envios P1,5756.05,P001,ADMINISTRACION
Agua de Garrafon P1,1144,P001,RECURSOS HUMANOS
Impuestos y Derechos P1,111,P001,ADMINISTRACION
